Index 	 Number
0 	 4791
0 	 2529
0 	 1076
0 	 4503
0 	 4126
0 	 32173
0 	 21748
0 	 24565
0 	 26772
0 	 31563
0 	 16669
0 	 11179
0 	 28657
0 	 2906
0 	 4414
0 	 14085
0 	 23489
0 	 4503
0 	 20528
0 	 28657
0 	 9294
0 	 1830
0 	 29356
0 	 17567
0 	 20151
0 	 24565
0 	 9061
0 	 23811
0 	 699
0 	 14606
0 	 9959
0 	 1919
0 	 29267
0 	 15593
0 	 17656
0 	 15970
0 	 5634
0 	 7608
0 	 10425
0 	 5257
0 	 30864
0 	 8684
0 	 13852
0 	 8307
0 	 1542
0 	 13619
0 	 22824
0 	 24798
0 	 4414
0 	 25031
0 	 22358
0 	 30720
0 	 7985
0 	 322
0 	 25319
0 	 9061
0 	 29966
0 	 20384
0 	 12543
0 	 7985
0 	 32461
0 	 11556
0 	 15737
0 	 25408
0 	 13996
0 	 29966
0 	 2440
0 	 28657
0 	 11035
0 	 4270
0 	 25175
0 	 12166
0 	 23955
0 	 23112
0 	 21138
0 	 23955
0 	 19164
0 	 25319
0 	 25031
0 	 3050
0 	 6710
0 	 27526
0 	 29733
0 	 3427
0 	 610
0 	 27005
0 	 4503
0 	 31474
0 	 5778
0 	 18931
0 	 6244
0 	 13475
0 	 17046
0 	 15970
0 	 25929
0 	 3050
0 	 19774
0 	 27293
0 	 27005
0 	 27293
0 	 14140
0 	 28369
0 	 8972
0 	 4647
0 	 17423
0 	 7985
0 	 10658
0 	 18266
0 	 16724
0 	 3050
0 	 1597
0 	 1919
0 	 18787
0 	 9061
0 	 28136
0 	 16436
0 	 13475
0 	 27005
0 	 4647
0 	 31474
0 	 6998
0 	 20240
0 	 4791
0 	 12255
0 	 5401
0 	 5723
0 	 30576
0 	 17423
0 	 6621
0 	 13242
0 	 10658
0 	 12632
0 	 11412
0 	 89
0 	 21371
0 	 20384
0 	 23811
0 	 2817
0 	 15216
0 	 20240
0 	 30254
0 	 18554
0 	 27526
0 	 17423
0 	 32173
0 	 29500
0 	 17944
0 	 9582
0 	 17423
0 	 6011
0 	 31940
0 	 3139
0 	 16436
0 	 25175
0 	 20528
0 	 11789
0 	 10802
0 	 15216
0 	 10048
0 	 14750
0 	 5490
0 	 20384
0 	 31330
0 	 31563
0 	 12399
0 	 3194
0 	 4037
0 	 15970
0 	 29589
0 	 16669
0 	 1220
0 	 89
0 	 17944
0 	 3427
0 	 30487
0 	 31474
0 	 15216
0 	 466
0 	 18177
0 	 15449
0 	 29877
0 	 15449
0 	 17567
0 	 29589
0 	 9061
0 	 10658
0 	 16580
0 	 16669
0 	 29589
0 	 20617
0 	 23722
0 	 32317
0 	 7087
0 	 1919
0 	 30864
0 	 22358
0 	 322
0 	 28979
0 	 2296
0 	 18931
0 	 9061
0 	 23434
0 	 28746
0 	 17046
0 	 23112
0 	 18931
0 	 7464
0 	 24798
0 	 17567
0 	 12166
0 	 23201
0 	 11412
0 	 2063
0 	 23955
0 	 0
0 	 5024
0 	 25929
0 	 12632
0 	 12632
0 	 31851
0 	 19308
0 	 25552
0 	 1919
0 	 11789
0 	 27903
0 	 699
0 	 9671
0 	 13153
0 	 6100
0 	 11789
0 	 32084
0 	 31707
0 	 21371
0 	 6854
0 	 31563
0 	 29356
0 	 21138
0 	 2529
0 	 20007
0 	 15216
0 	 21892
0 	 6011
0 	 3893
0 	 15216
0 	 4647
0 	 21138
0 	 3283
0 	 17800
0 	 24565
0 	 15593
0 	 12776
0 	 6011
0 	 18643
0 	 25696
0 	 8362
0 	 22125
0 	 21138
0 	 17567
0 	 17046
0 	 21371
0 	 15970
0 	 3660
0 	 17567
0 	 22735
0 	 26018
0 	 18321
0 	 31474
0 	 11035
0 	 27005
0 	 13996
0 	 28657
0 	 6244
0 	 24099
0 	 14750
0 	 4270
0 	 32694
0 	 24188
0 	 29123
0 	 23722
0 	 10425
0 	 27903
0 	 11179
0 	 13763
0 	 8972
0 	 15127
0 	 31474
0 	 20240
0 	 30864
0 	 610
0 	 5490
0 	 6621
0 	 6011
0 	 16203
0 	 15216
0 	 12488
0 	 27005
0 	 32550
0 	 14085
0 	 30864
